ISBN,Title,Ownership,Category,SubCategory,HeHasRead
0-06-019776-5,From Third World to First,His,Singapore,,0
978-981-4374-56-9,Singapore Perspectives 2011,His,Singapore,,1
978-981-4336-07-9,Dynamics of the Singapore Success Story,His,Singapore,,1
978-1-78326-377-6,"The Leader, The Teacher & You",His,Singapore,,0
978-981-07-2204-3,The Ultimate Guide to Commercial Real Estate Investment in Singapore,His,Singapore,,1
978-981-08-7103-1,The Ultimate Guide to Real Estate Investment in Singapore,His,Singapore,,1
978-0-470-82389-7,Doing Good Well,His,Social Enterprises,,1
978-0-470-40532-1,Succeeding at Social Enterprise,His,Social Enterprises,,1
978-1-58648-824-6,Building Social Business,His,Social Enterprises,,1
978-1-58648-667-9,Creating a World Without Poverty,His,Social Enterprises,,1
1-51939-619-0,Blue Ocean Strategy,His,Strategy,,0
981-067-591-7,Sun Zi Bingfa,His,Strategy,,1
978-981-08-6009-7,The Strategic Way,His,Strategy,,0
978-1-59139-866-0,Redefining Global Strategy,His,Strategy,,1
0-7432-6088-0,Competitive Strategy,His,Strategy,,1
978-1-59139-782-3,The Lords of Strategy,His,Strategy,,1
978-0-618-70564-1,China Shakes the World,His,Business,,1
1-56414-496-8,50 Companies that Changed the World,His,Business,,1
0-7894-7195-7,Roads to Success,His,Business,,1
978-981-08-8976-0,GE11 - We Were There,His,Singapore,,0
978-981-08-6086-8,Diversity Singapore,His,Singapore,,1
978-0-415-45794-1,The Science of Stories,His,Organizational Behavior,,1
978-0-521-60309-6,An Introduction to the Theory of Knowledge,His,Organizational Behavior,,1
0-253-21515-3,Social Epistemology,His,Organizational Behavior,,1
0-7506-7222-6,Knowledge and Social Capital,His,Organizational Behavior,,1
978-0-8223-3874-1,The Academic’s Handbook,His,Academia,,1
0-205-28159-1,Advice for New Faculty Members,His,Academia,,1
0-306-46341-5,Handbook of Social Comparison,His,Social Psychology,,1
0-521-60844-9,Social Comparison and Social Psychology,His,Social Psychology,,1
978-0-8058-5559-3,"Learning, Training, and Development in Organizations",His,Organizational Behavior,,1
0-8039-7263-6,Rhythms of Academic Life,His,Academia,,1
978-0-631-22319-1,Making Sense of the Organization,His,Organizational Behavior,,1
978-0-470-74220-4,Making Sense of the Organization Volume 2,His,Organizational Behavior,,1
978-0-8039-7177-6,Sensemaking in Organizations,His,Organizational Behavior,,1
0-87249-624-4,Human Communication As Narration,His,Organizational Behavior,,1
0-930350-91-X,Frame Analysis,His,Sociology,,1
0-205-45614-6,Psychology in Context,His,Psychology,,1
0-13-143994-4,Management,His,Organizational Behavior,,1
0-13-644683-3,Organizational Behavior,His,Organizational Behavior,,1
0-201-84875-9,Organizational Theory,His,Organizational Behavior,,1
0-7656-1524-X,Organizational Behavior 1: Essential Theories of Motivation and Leadership,His,Organizational Behavior,,1
978-0-7515-5427-4,What Milo Saw,Hers,Fiction,,0
0-446-67949-6,Hypocrite in a Puffy White Dress,Hers,Fiction,,0
978-0-099-49059-3,The Stolen Child,Hers,Fiction,,0
978-981-47-5758-4,Ministry of Moral Panic,Hers,Fiction,,0
978-0-340-93684-9,Marley & Me,Hers,Fiction,,0
978-0-747-58935-8,Eat Pray Love,Hers,Fiction,,0
978-0-446-56733-6,Dear John,Hers,Fiction,,0
978-0-399-25628-8,Between Shades of Gray,Hers,Fiction,,0
978-0-099-54618-4,The Time Travelers’ Wife,Hers,Fiction,,0
978-0-099-52418-2,Her Fearful Symmetry,Hers,Fiction,,0
978-0-7515-4123-6,I’ll be There For You,Hers,Fiction,,0
978-0-340-92208-8,Not Alone,Hers,Fiction,,0
978-0-340-96143-8,December,Hers,Fiction,,0
978-0-141-35703-4,All the Bright Places,Hers,Fiction,,0
978-0-099-28544-1,Invisible Monsters,Hers,Fiction,,0
978-0-06-213183-6,Yesterday’s Sun,Hers,Fiction,,0
978-0-571-32269-5,Don’t Tell Me You’re Afraid,Hers,Fiction,,0
978-0-7528-3750-5,A Child Called ‘It’,Hers,Fiction,,0
978-0-345-80378-8,Crazy Rich Asians,Hers,Fiction,,0
978-0-330-45671-5,A Heartbreaking Work of Staggering Genius,Hers,Fiction,,0
978-981-4328-36-4,Miss Seetoh in the World,Hers,Fiction,,0
978-1-4391-6901-8,Her Fearful Summetry,Hers,Fiction,,0
978-0-340-82278-4,Cloud Atlas,Hers,Fiction,,0
978-1-4746-0228-0,Sophie’s World,Hers,Fiction,,0
978-8009957029-5,The Night Circus,Hers,Fiction,,0
978-0-141-02518-6,Extremely Loud & Incredibly Close,Hers,Fiction,,0
0-684-81756-X,Rice,Hers,Fiction,,0
978-0-00-716501-8,Where Rainbows End,Hers,Fiction,,0
978-0-340-97908-2,House Rules,Hers,Fiction,,0
978-0-340-97689-0,Vanishing Acts,Hers,Fiction,,0
978-0-340-93584-2,Change of Heart,Hers,Fiction,,0
1-86105-704-0,The Whale Rider,Hers,Fiction,,0
978-0-14-311455-0,The Secret Life of Bees,Hers,Fiction,,0
978-0-06-231500-7,The Alchemist,Hers,Fiction,,0
0-14-303966-0,The Painter of Signs,Hers,Fiction,,0
978-1-444-77585-3,My Grandmother Sends Her Regards and Apologies,Hers,Fiction,,0
978-1-84391-387-0,The Hundred Year Old Man Who Climbed Out of the Window and Disappeared,Hers,Fiction,,0
978-1-4767-3801-7,A Man Called Ove,Hers,Fiction,,0
978-1-909-53119-2,The Boy in the Striped Pyjamas,Hers,Fiction,,0
978-0-307-73974-2,Japan 1941,Hers,Fiction,,0
978-1-912049-08-0,The Man Who Wore His Wife’s Sarong,Hers,Fiction,,0
978-0-0994-7043-4,The Curious Incident of the Dog in the Night-time,Hers,Fiction,,0
0-582-06010-9,Animal Farm,Hers,Fiction,,1
0-582-34845-5,Animal Farm,Hers,Fiction,,1
978-0-8129-7932-9,Behind the Beautiful Forevers,Hers,Fiction,,0
0-00-655043-6,The Bonesetter’s Daughter,Hers,Fiction,,0
0-14-240112-9,"Roll of Thunder, Hear Me Cry",Hers,Fiction,,0
978-0-241-95042-5,The Catcher in the Rye,Hers,Fiction,,0
0-7493-0134-1,To Kill a Mockingbird,Hers,Fiction,,0
0-14-130487-1,Chinese Cinderella,Hers,Fiction,,0
978-0-395-92495-2,Jubilee,Hers,Fiction,,0
978-0-312-37084-8,Sarah’s Key,Hers,Fiction,,0
0-06-074045-0,One Hundred Years of Solitude,Hers,Fiction,,0
978-1-4767-4658-6,All the Light We Cannot See,Hers,Fiction,,0
978-0-8129-7106-4,Reading Lolita in Tehran,Hers,Fiction,,0
978-0-5527-7389-8,The Book Thief,Hers,Fiction,,0
978-981-4561-02-0,The Devil and the Deep Blue Sea,Hers,Fiction,,0
0-141-32086-9,Mao’s Last Dancer,Hers,Fiction,,0
978-1-84604-421-2,Dear Leader,Hers,Biography,,0
978-0-06-195072-8,Orphan Train,Hers,Fiction,,0
978-0-553-29698-3,Anne Frank - The Diary of a Young Girl,Hers,Biography,,0
978-0-7553-2565-8,Small Island,Hers,Fiction,,0
978-0-452-29531-5,City of Thieves,Hers,Fiction,,0
978-1-59448-301-1,The Kite Runner,Hers,Fiction,,0
978-1-4088-5005-3,And the Mountains Echoed,Hers,Fiction,,0
0-00-654599-8,Wild Swans,Hers,Fiction,,0
978-0-099-53601-7,Catch-22,Hers,Fiction,,0
978-981-0638-64-1,Teaching and Managing Learners at the Secondary/Junior College Level,Hers,Education,,0
978-981-4431-85-9,"Singapore: The Making of a Nation-State, 1300-1975",Hers,Education,,0
978-981-06-3457-5,"All About History, Unit 4: Decolonisation and Emergence of Nation-States",Hers,Education,,0
978-981-06-3455-1,"All About History, Unit 3: Bi-Polarity and the Cold War",Hers,Education,,0
978-981-06-3097-3,"All About History, Unit 2: The World in Crisis",Hers,Education,,0
978-981-06-3096-6,"All About History, Unit 1: European Dominance and Expansion in Southeast Asia",Hers,Education,,0
978-981-01-7553-5,Upper Secondary Social Studies,Hers,Education,,0
978-981-07-0128-4,What Gives Us Our Names,Hers,Fiction,,0
981-05-3620-8,I Believe You,Hers,Fiction,,0
978-981-09-1853-8,The Sound of Sch,Hers,Fiction,,0
978-981-07-8858-2,Singapore Siu Dai,Hers,Fiction,,0
978-981-09-9956-8,We R Family,Hers,Fiction,,0
978-0-8024-1270-6,The 5 Love Languages,Hers,Psychology,,1
978-2-7427-8719-7,L’Ours,Hers,Fiction,,0
978-0-15-601398-7,Le Petit Prince,Hers,Fiction,,0
978-1-85326-158-9,The Little Prince,Hers,Fiction,,0
978-2-253-12952-3,Le Fait Du Prince,Hers,Fiction,,0
978-2-7578-1362-1,Jubilee,Hers,Fiction,,0
978-981-261-658-6,Be My Baby,Hers,Fiction,,0
978-0-552-56597-4,Wonder,Hers,Fiction,,0
978-0-552-57477-8,Auggie & Me,Hers,Fiction,,0
0-14-131131-2,The Complete Adventures of Charlie and Mr Willy Wonka,Hers,Fiction,,0
978-0-141-32266-7,Matilda,Hers,Fiction,,1
0-14-130110-4,The Witches,Hers,Fiction,,1
0-14-130115-5,Charlie and the Chocolate Factory,Hers,Fiction,,1
0-14-130105-8,The BFG,Hers,Fiction,,1
978-0-340-97850-4,The Last Lecture,Hers,Inspiration,,1
4-7700-2594-7,Totto-chan,Hers,Fiction,,0
978-0-385-49649-0,Tuesdays with Morrie,Hers,Inspiration,,1
0-435-12467-6,The Outsiders,Hers,Fiction,,0
978-097699812-9,Japanese From Zero! 1,Hers,Languages,Japanese,0
978-1-4000-2448-3,Japanese Learner’s Dictionary,His,Languages,Japanese,0
978-2-01-156048-3,Totem 1 Methode de francais,Both,Languages,French,1
978-2-01-156053-7,Totem 1 Cahier de francais,Both,Languages,French,1
978-0-07-181954-1,Complete French All-in-One,His,Languages,French,0
978-0-07-182642-6,French Vocabulary Drills,His,Languages,French,0
978-2-01-155811-4,Alter Ego A1 Cahier d’activites,Hers,Languages,French,0
978-2-01-155810-7,Alter Ego A1 Methode de francais,Hers,Languages,French,0
978-2-01-155813-8,Alter Ego A2 Cahier d’activites,Hers,Languages,French,0
978-2-01-155812-1,Alter Ego A2 Methode de francais,Hers,Languages,French,0
978-1-4000-6567-7,The Bone Clocks,Hers,Fiction,,0
